lag_days,acf_daily,pacf_daily,sig_threshold
0,1.0,1.0,0.052590215264254975
1,0.8355964063255238,0.8361984210274872,0.052590215264254975
2,0.6598512772599396,-0.1277546333448683,0.052590215264254975
3,0.56044086328192,0.15320442567187353,0.052590215264254975
4,0.4995312865598152,0.04190689690517461,0.052590215264254975
5,0.4806250428581628,0.1394138376883586,0.052590215264254975
6,0.46620409541503227,0.02960738901108806,0.052590215264254975
7,0.4394608406709196,0.023504957886034527,0.052590215264254975
8,0.40749894760674,0.012918605592166763,0.052590215264254975
9,0.3854365377856257,0.04782836275895116,0.052590215264254975
10,0.3737459651141343,0.0355400231591496,0.052590215264254975
11,0.36734049839169963,0.03486287210311681,0.052590215264254975
12,0.37534472670960056,0.07701077500859446,0.052590215264254975
13,0.37450422033830894,0.007966758410712652,0.052590215264254975
14,0.3649204790052669,0.02703708168183237,0.052590215264254975
15,0.3588179120279991,0.03397729908538438,0.052590215264254975
16,0.35775979098524946,0.0411988346802993,0.052590215264254975
17,0.3578173600966233,0.024919508181685448,0.052590215264254975
18,0.36003398045759577,0.03624586871167033,0.052590215264254975
19,0.3628414213728175,0.03347360537638747,0.052590215264254975
20,0.36774159858770994,0.046524017739688804,0.052590215264254975
21,0.35508237315764624,-0.029860068875602448,0.052590215264254975
22,0.33347524526430805,-0.00328124702915052,0.052590215264254975
23,0.3275462766712662,0.04624062710944309,0.052590215264254975
24,0.33360223052354837,0.03587756815742631,0.052590215264254975
25,0.34308031765559077,0.03133080353418257,0.052590215264254975
26,0.3525551570899059,0.03577141733389229,0.052590215264254975
27,0.3581461286185068,0.03470305483071921,0.052590215264254975
28,0.3718741288627647,0.07328030415623371,0.052590215264254975
29,0.3870195773106804,0.04179202730995688,0.052590215264254975
30,0.3933745884035503,0.022069458746766957,0.052590215264254975
