feature,mean_abs_shap,rank
log_PM2_5,14.103494193055717,1
PM10,1.3354289296027868,2
O3,1.2929112303827763,3
AQI,0.8122727821877916,4
SO2,0.6179452109251892,5
log_CO,0.5588719521087424,6
PM10_lag_1,0.5517908763455031,7
AQI_roll_std_7,0.42939265264169013,8
Humidity,0.4201804012649578,9
AQI_lag_1,0.4184132305179762,10
wind_sin,0.4154893168738539,11
log_PM2_5_lag_1,0.3429809003416184,12
Temperature_roll_mean_7,0.3325816914463805,13
wind_speed,0.32563112930280863,14
AQI_roll_min_3,0.2831831619900894,15
AQI_roll_max_3,0.2429253270272767,16
Temperature,0.22707677065682005,17
AQI_roll_mean_7,0.2244788017162387,18
AQI_diff,0.22440702628302958,19
Humidity_roll_mean_7,0.22128733068046386,20
AQI_lag_7,0.21199006190771946,21
wind_speed_lag_1,0.21056560070998961,22
month,0.20035548705044212,23
AQI_roll_mean_3,0.15743172984487483,24
AQI_lag_3,0.13635974201899997,25
AQI_roll_std_3,0.13414166993539156,26
NO2,0.12577099446733334,27
wind_cos,0.11821673511119955,28
weekday_6,0.09597615615459411,29
AQI_lag_2,0.0851296073975786,30
season_Spring,0.03681817049566729,31
weekday_1,0.02554613942988743,32
season_Summer,0.01518024209537418,33
weekday_5,0.009591925206411327,34
weekday_4,0.005093932212670846,35
weekday_3,0.0034740496544019717,36
season_Winter,0.0030970820480889063,37
weekday_2,0.0022027922308979543,38
Precipitation,0.0,39
