date,AQI,season,abs_err_d3,wind_speed,Precipitation,predicted_d3
2026-05-20,68.625,Spring,49.86053787597308,14.475,0.0,71.26446212402692
2026-05-19,68.875,Spring,39.88588384349803,16.7625,0.0,63.86411615650197
2026-05-02,85.0,Spring,29.30244627859318,15.454166666666666,0.0,93.19755372140682
2026-05-13,85.41666666666667,Spring,21.743985036645434,11.870833333333332,0.0,76.20231836997877
2026-05-12,71.5,Spring,21.532365065317627,9.066666666666666,0.0,71.57403173198429
2026-05-21,82.5,Spring,21.129043507331943,14.725,0.0,86.32928982600139
2026-05-18,73.58333333333333,Spring,15.645634546015486,16.958333333333332,0.0,66.85436545398451
2026-05-10,66.95833333333333,Spring,13.984641423300516,11.0875,0.0,71.43202524336616
2026-05-03,88.79166666666667,Spring,12.069582044693789,11.441666666666668,0.0,82.01375128863954
2026-05-05,122.5,Spring,11.936862445280887,9.85,0.0,75.14519577861422
