_id,timestamp,status,model_type,model_id,error,MAE,RMSE,R2,MAE_t+1,RMSE_t+1,R2_t+1,MAE_t+2,RMSE_t+2,R2_t+2,MAE_t+3,RMSE_t+3,R2_t+3,R2_t1,R2_t2,R2_t3
6a14a711c377918dc74bed48,2026-05-25 19:46:25.918,success,lgbm,6a14a70fc377918dc74bed47,,8.783771303709578,12.04812943068429,0.42601399616301006,4.640099955617703,5.981912885682256,0.8434983484774174,10.135973255765748,14.028652340449343,0.3017208382951255,11.575240699745285,16.133823065921273,0.1328228017164873,,,
6a14a716c377918dc74bed4a,2026-05-25 19:46:30.991,success,rf,6a14a714c377918dc74bed49,,9.329922012326842,12.958998127083724,0.35953952242787085,6.111373069700779,7.946663243908629,0.7238097296050975,10.315161506471979,14.52229802368086,0.2517135748505851,11.563231460807772,16.408033113661684,0.10309526282793002,,,
6a14a76bc377918dc74bed4c,2026-05-25 19:47:55.323,success,lstm,6a14a76ac377918dc74bed4b,,7.747133791888202,10.682539520518173,0.5861039721576465,,,,,,,,,,,,
6a156bd15e82317d0cf79126,2026-05-26 09:45:53.529,success,lgbm,6a156bcf5e82317d0cf79125,,9.340995650804443,13.488680324825069,0.3614545541611573,,,,,,,,,,0.7932426937337891,0.2147056378367942,0.07641533091288866
6a156bee5e82317d0cf79128,2026-05-26 09:46:22.523,success,lstm,6a156bed5e82317d0cf79127,,9.792802810668945,12.811037063598633,0.409367173910141,,,,,,,,,,0.6178072690963745,0.3362768888473511,0.27401745319366455
6a157008cd56899065c4e23d,2026-05-26 10:03:52.473,success,lgbm,6a157007cd56899065c4e23c,,9.075780995141587,13.225785021162734,0.38550901501333307,,,,,,,,,,0.7945656118285501,0.2418373719640331,0.12012406124741593
6a157024cd56899065c4e23f,2026-05-26 10:04:20.126,success,lstm,6a157023cd56899065c4e23e,,9.356677055358887,12.772185325622559,0.4193512201309204,,,,,,,,,,0.6975369453430176,0.3529786467552185,0.20753836631774902
6a1570a07ff111351fb2ebd7,2026-05-26 10:06:24.229,success,lgbm,6a15709f7ff111351fb2ebd6,,9.716065913601751,13.804555082481526,0.3289712838121462,,,,,,,,,,0.755475113778943,0.17725674671934966,0.05418199093814591
6a1570b97ff111351fb2ebd9,2026-05-26 10:06:49.899,success,lstm,6a1570b87ff111351fb2ebd8,,9.880099296569824,14.273859024047852,0.2720130383968353,,,,,,,,,,0.5938043594360352,0.1665688157081604,0.05566602945327759
6a15714e8234ec3f0790ce37,2026-05-26 10:09:18.950,success,lgbm,6a15714c8234ec3f0790ce36,,9.251587697058756,13.485483561781642,0.36157002626139584,,,,,,,,,,0.7756958801994018,0.2747360573306349,0.03427814125415052
6a1571778234ec3f0790ce39,2026-05-26 10:09:59.905,success,lstm,6a1571768234ec3f0790ce38,,11.333885192871094,14.868393898010254,0.19467662274837494,,,,,,,,,,0.3529477119445801,0.14274519681930542,0.08833712339401245
6a1571fe97648aa99672dfb8,2026-05-26 10:12:14.246,success,lgbm,6a1571fc97648aa99672dfb7,,9.075780995141587,13.225785021162734,0.38550901501333307,,,,,,,,,,0.7945656118285501,0.2418373719640331,0.12012406124741593
6a15721297648aa99672dfba,2026-05-26 10:12:34.664,success,lstm,6a15721197648aa99672dfb9,,9.609188079833984,13.274096488952637,0.3694005310535431,,,,,,,,,,0.6330960988998413,0.2900702953338623,0.18503546714782715
