horizon,baseline_r2,stacked_r2,delta,method
day1,0.791029061481531,0.791029061481531,0.0,no stacking
day2,0.2701681959353598,0.24885644952430097,-0.02131174641105882,+ OOF day1 pred
day3,0.1519427334265434,-0.013212432557804021,-0.16515516598434743,+ OOF day1+day2 preds
